门店编码,门店名称,供应商编码,供应商名称,商品编码,商品名称,单位,数量,含税进价,含税进价金额,生产日期,到期日,保质期(月),处理方式,毛利率(%),处理后金额,,
3702001,市南14站,43334910,济南隆新和商贸有限公司,39389,格力高百醇注心饼干牛奶味48g,盒,2,5.2,10.4,2019/1/11,2020/1/10,12,折价促销,-140 ,4.3 ,,
3702001,市南14站,43269220,济南乐发商贸有限公司,40941,康师傅桶装方便面红烧牛肉106g,桶,6,3.19,19.14,2019/7/4,2020/1/3,6,折价促销,-139 ,8.0 ,,
3702001,市南14站,42989260,青岛凯德尔贸易有限公司,42624,统一汤达人日式豚骨拉面125g*5,袋,6,17.45,104.7,2019/7/21,2020/1/20,6,折价促销,-138 ,44.0 ,,
3702001,市南14站,42989260,青岛凯德尔贸易有限公司,42625,统一汤达人酸酸辣辣豚骨面130g*5,袋,6,17.45,104.7,2019/7/20,2020/1/19,6,折价促销,-138 ,44.0 ,,
3702001,市南14站,42850080,济南言旭商贸有限公司,00411,康师傅妙芙欧式蛋糕奶油味96g,盒,6,4.79,28.74,2019/4/6,2020/1/5,9,折价促销,-132 ,12.4 ,,
3702001,市南14站,43269220,济南乐发商贸有限公司,25346,康师傅老坛酸菜牛肉面(桶装)124g,桶,9,3.02,27.18,2019/7/4,2020/1/3,6,折价促销,-127 ,12.0 ,,
3702001,市南14站,43173510,济南华油商贸有限公司,02664,徐福记沙琪玛蛋黄309g,袋,3,8.53,25.59,2019/2/28,2019/12/27,10,折价促销,-115 ,11.9 ,,
3702002,市南78站,43924490,山东省供销社农产品有限公司,02088,伊利金典纯牛奶250ml,盒,84,4.5,378,2019/7/5,2020/1/4,6,折价促销,-64 ,231.0 ,,
3702005,即墨62站,30250000,中国石化销售有限公司,45530,德雷丝小麦啤酒500ml,瓶,72,5.5,396,2018/11/7,2020/1/7,14,折价促销,-175 ,144.0 ,,
3702005,即墨62站,30250000,中国石化销售有限公司,45531,德雷丝比尔森啤酒500ml,瓶,120,5.4,648,2018/11/7,2020/1/7,14,折价促销,-170 ,240.0 ,,
3702006,市南98站,42985440,中石化宁夏易捷石化有限公司,28200,国杞天香铁罐枸杞(特优级)240g,罐,7,48,336,2018-7-30,2020-1-30,18,折价促销,-140 ,140.0 ,,
3702006,市南98站,42989260,青岛凯德尔贸易有限公司,42617,统一汤达人日式豚骨拉面(碗装)125g,碗,14,6.19,86.66,2019-8-5,2020-1-31,6,折价促销,-138 ,36.4 ,,
3702006,市南98站,42989260,青岛凯德尔贸易有限公司,42615,统一汤达人海鲜拉面110g,碗,2,6.19,12.38,2019-11-6,2020-1-6,6,折价促销,-138 ,5.2 ,,
3702006,市南98站,43292040,济南森萌商贸有限公司,02698,米老头雪花煎卷椰奶味150g,袋,5,4.58,22.9,2019-5-26,2020-2-25,9,折价促销,-129 ,10.0 ,,
3702006,市南98站,42985440,中石化宁夏易捷石化有限公司,28199,国杞天香铁罐枸杞(特优级)120g,罐,4,27,108,2018-7-15,2020-1-14,18,折价促销,-103 ,53.3 ,,
3702006,市南98站,30250000,中国石化销售有限公司,45531,德雷丝比尔森啤酒,罐,32,5.4,172.8,2018/11/6,2020/1/6,14,折价促销,-80 ,96.0 ,,
3702006,市南98站,43924490,山东省供销社农产品有限公司,02083,伊利纯牛奶250ml,盒,40,2.36,94.4,2019/7/5,2020/1/4,6,折价促销,-57 ,60.0 ,,
3702007,市北20站,30250117,中国石油化工股份有限公司黑龙江石油分公司,40801,鲶鱼沟碱地生态大米5kg,袋,3 ,46.00 ,138.00,2018/12/15,2019/12/15,12 ,折价促销,-140 ,57.5 ,,
3702009,市北10站,47328200,山东天下第一村烧饼有限公司,48270,天下第一村贺中秋广式月饼480G ,盒,6 ,28.00 ,168.00,2019/8/19,2020/2/15,6 ,折价促销,-100 ,84.0 ,,
3702009,市北10站,47328200,山东天下第一村烧饼有限公司,48271,天下第一村情满中秋苏式月饼504g,盒,4 ,28.00 ,112.00,2019/8/19,2020/2/15,6 ,折价促销,-100 ,56.0 ,,
3702012,莱西102站,30250000,中国石化销售有限公司,43350,德雷丝小麦啤酒500ml,瓶,168,5.5,924,2018/11/6,2020/1/6,14,折价促销,-175 ,336.0 ,,
3702012,莱西102站,30250000,中国石化销售有限公司,45531,德雷丝比尔森啤酒500ml,瓶,192,5.4,1036.8,2018/11/6,2020/1/6,14,折价促销,-170 ,384.0 ,,
3702016,市南79站,43924490,山东省供销社农产品有限公司,02088,伊利金典纯牛奶250ml,盒,12,4.5,54,2019/7/5,2020/1/4,6,折价促销,-64 ,33.0 ,,
3702017,莱西117站,30250000,中国石化销售有限公司,45531,德雷丝比尔森啤酒500ml,瓶,84,5.4,453.6,2018/11/6,2020/1/6,14,折价促销,-170 ,168.0 ,,
3702019,市北52站,30250036,中国石化销售有限公司内蒙古石油分公司,42884,草原汇香白蘑酱,瓶,13 ,4.60 ,59.80,2018/7/9,2020/1/9,18 ,折价促销,-31 ,45.5 ,,
3702019,市北52站,30250036,中国石化销售有限公司内蒙古石油分公司,42871,草原汇香白蘑酱（香辣味）180g,瓶,3 ,4.60 ,13.80,2018/7/9,2020/1/9,18 ,折价促销,-31 ,10.5 ,,
3702023,市南19站,43924490,山东省供销社农产品有限公司,02088,伊利金典纯牛奶250ml,盒,36,4.5,162,2019/7/5,2020/1/4,6,折价促销,-64 ,99.0 ,,
3702025,市南69站,43924490,山东省供销社农产品有限公司,02088,伊利金典纯牛奶250ml,盒,120,4.5,540,2019/7/5,2020/1/4,6,折价促销,-64 ,330.0 ,,
3702028,市北9站,43269220,济南乐发商贸有限公司,40942,康师傅经典香辣牛肉桶105g,桶,2 ,3.11 ,6.22,2019/7/1,2020/1/1,6 ,折价促销,-132 ,2.7 ,,
3702028,市北9站,41352540,中粮可口可乐饮料（山东）有限公司,41702,雪碧汽水清爽柠檬味2L,桶,1 ,5.02 ,5.02,2019/1/24,2019/12/23,11 ,折价促销,-131 ,2.2 ,,
3702028,市北9站,47320230,山东福明钰经贸有限公司,05882,七喜瓶装汽水600ml,瓶,3 ,2.17 ,6.51,2019/3/30,2019/12/29,9 ,折价促销,-117 ,3.0 ,,
3702028,市北9站,48297237,山东秋灵商贸有限公司,44761,福佳香优麦贝拉面包128g,袋,4 ,3.41 ,13.64,2019/8/27,2020/1/2,5 ,折价促销,-104 ,6.7 ,,
3702028,市北9站,47378310,烟台三川食品有限公司,44397,天鹭无花果脆20g,袋,6 ,5.03 ,30.18,2018/6/28,2019/12/27,6 ,折价促销,-101 ,15.0 ,,
3702028,市北9站,47378310,烟台三川食品有限公司,44396,天鹭香蕉片20g,袋,19 ,4.35 ,82.65,2018/6/28,2019/12/27,6 ,折价促销,-100 ,41.2 ,,
3702028,市北9站,30250000,中国石化销售有限公司,28200,国杞天香铁罐枸杞(特优级)240g,桶,10 ,38.00 ,380.00,2018/8/1,2020/2/1,18 ,折价促销,-90 ,200.0 ,,
3702028,市北9站,42844810,济南志诚信商贸有限公司,43791,冠芳山楂树下山楂果汁果肉饮料350ml,瓶,16 ,2.81 ,44.96,2018/12/29,2019/12/28,12 ,折价促销,-68 ,26.7 ,,
3702028,市北9站,30250000,中国石化销售有限公司,28199,国杞天香铁罐枸杞(特优级)120g,桶,7 ,22.00 ,154.00,2018/7/15,2020/1/14,18 ,折价促销,-65 ,93.4 ,,
3702029,市北93站,48272028 ,济南汉商经贸有限公司,39345,格力高百醇芝士蛋糕味48g,盒,3 ,5.16 ,15.48,2018/12/18,2019/12/17,12 ,折价促销,-135 ,6.6 ,,
3702029,市北93站,30250000,中国石化销售有限公司,41895,达利园甄好曲奇巧克力豆味208g,盒,5 ,9.69 ,48.45,2018/12/19,2019/12/18,12 ,折价促销,-131 ,21.0 ,,
3702029,市北93站,43173510 ,济南华油商贸有限公司,33777,溜溜梅清梅160g,袋,2 ,7.44 ,14.88,2018/12/23,2019/12/22,12 ,折价促销,-125 ,6.6 ,,
3702029,市北93站,47378310 ,烟台三川食品有限公司,44397,天鹭无花果脆20g,袋,2 ,5.03 ,10.05,2018/6/28,2019/12/27,18 ,折价促销,-101 ,5.0 ,,
3702029,市北93站,47378310 ,烟台三川食品有限公司,44396,天鹭香蕉片20g,袋,2 ,4.36 ,8.71,2018/6/28,2019/12/27,18 ,折价促销,-98 ,4.4 ,,
3702030,市南3站,43461980,山东青鑫实业有限公司,40856,青岛泰山风光,听,48,5.17,248.16,2019/1/20,2020/1/19,12,折价促销,-159 ,96.0 ,,
3702030,市南3站,44648870,济南欧耶物流有限公司,02118,特仑苏,箱,50,54.41,2720.5,2019/8/20,2020/2/19,6,折价促销,-67 ,1625.0 ,,
3702030,市南3站,43924490,山东省供销社农产品有限公司,02088,伊利金典纯牛奶250ml,箱,600,3.92,2352,2019/8/29,2020/2/28,6,折价促销,-43 ,1650.0 ,,
3702031,胶南335站,30250000,中国石化销售有限公司,45530,德雷丝小麦啤酒500ml,瓶,96,5.5,528,2019-11-07,2020-01-07,24,折价促销,-129 ,230.4 ,,
3702031,胶南335站,30250000,中国石化销售有限公司,45531,德雷丝比尔森啤酒500ml,瓶,132,5.4,712.8,2018-11-06,2020-01-06,14,折价促销,-125 ,316.8 ,,
