序号,条形码,商品|编码,商品名称,给美团价格（5毛利），也是石化录团购价格,石化系统零售价,规格
1,6920242100471,00073,怡达果丹皮200g,5.3,6.9,200g
2,6901754071152,00105,乌江原味菜片80g,1.9,2.6,80g
3,6901754071190,00107,乌江鲜爽菜芯80g,1.7,2.6,80g
4,6914782203327,00159,徐福记凤梨酥184g,8.2,10.9,182g
5,6914782082441,00215,徐福记沙琪玛芝麻香酥160g,8.6,11.9,160g
6,6911988006783,00400,达利园注心派蛋黄味250g,5.3,9,250g
7,6911988000682,00410,达利园注心派草莓味250g,5.3,9,250g
8,6920731701103,00411,康师傅妙芙欧式蛋糕奶油味96g,5.1,6.2,96g
9,6920584471017,00437,旺旺旺仔牛奶245ml,4.6,5.5,245ml
10,6925303714093,00470,统一来一桶香辣牛肉面107g,3.2,4,107g
11,6925303773106,00472,统一来一桶老坛酸菜牛肉面香辣味120g,3.2,3.8,120g
12,6921137600991,00475,景阳岗特制珍品38°440ml,97.9,110,440ml
13,6901028150187,00504,泰山新品20支,20.1,22,20支
14,6901028150361,00505,泰山软盒望岳20支,17.7,19,20支
15,6901028114448,00506,苏烟(软金砂)20支,44.7,48,20支
16,6901028315005,00509,红塔山软经典20支,7.1,7.5,20支
17,6920907808179,00529,好丽友好多鱼脆香烧烤味33g,3.8,4.9,33g
18,6920907805161,00530,好丽友木糖醇无糖口香糖缤纷水果味101g,14.1,16.9,101g
19,6920907805086,00531,好丽友木糖醇无糖口香糖热带水果味101g,14.1,16.9,101g
20,6920907808551,00532,呀土豆薯片里脊牛排味40g,3.2,3.9,40g
21,6920907808513,00533,呀土豆薯片番茄酱味40g,3.2,3.9,40g
22,6920907800616,00536,好丽友蛋黄派46g,3.3,3.9,46g
23,6920907803068,00537,好丽友Q蒂蛋糕摩卡巧克力味56g,3.5,4.2,56g
24,6920907801323,00538,好丽友提拉米苏138g,9.4,11.5,138g
25,6920731763156,00590,康师傅松派夹心饼草莓牛奶118g,3.7,4.5,118g
26,6903148048825,00628,飘柔人参滋养修护洗发露400ml,23.8,29.9,400ml
27,6903148048818,00636,飘柔人参滋养修护洗发露200ml,13.6,15.5,200ml
28,6910019005153,00644,超能1天然皂粉(馨香柔软)N1360,5.2,7,360
29,6920907803020,00739,好丽友Q蒂巧克力蛋糕168g*16,10,12.5,168g*16
30,6914782202429,00746,徐福记磨堡蛋糕鸡蛋味190g,8.7,11.9,190g
31,6914782203334,00747,徐福记草莓酥182g,8.2,10.9,182g
32,6914782203310,00748,徐福记香橙酥182g,8.2,10.9,182g
33,6901668053510,00751,奥利奥巧脆卷香草口味55g,3.6,4,55g
34,6903148047811,00855,舒肤佳沐浴露柠檬清香400ml,18.9,21.9,400ml
35,6903148048795,00859,飘柔焗油护理洗发露400ml,25,30,400ml
36,6903148048986,00863,飘柔滋润去屑洗发露400ml,25,30,400ml
37,6924187820067,00889,洽洽香瓜子160g,4.2,5.2,160g
38,6901028317122,00990,玉溪(软)20支,21.2,23,20支
39,6939894812502,01003,可口可乐汽水1.25L,4.1,6,1.25L
40,6939894812519,01007,雪碧汽水清爽柠檬味1.25L,4.1,6,1.25L
41,6920927181221,01014,美汁源果粒橙450ml,2.6,3,450ml
42,6912999330027,01026,芬达汽水橙味（听装）330ml,1.7,2.5,330ml
43,6902538004052,01030,脉动维生素饮料橘子味600ml,3.4,4,600ml
44,6902538004045,01031,脉动维生素饮料青柠味600ml,3.4,4,600ml
45,6902538005141,01032,脉动维生素饮料水蜜桃味600ml,3.4,4,600ml
46,6921168509256,01035,农夫山泉矿泉水550ml,1.2,2,550ml
47,6921168532001,01037,农夫果园混合果汁橙汁+胡萝卜+苹果500ml,2.9,3.5,500ml
48,6921168532025,01038,农夫果园混合果汁菠萝+芒果+番石榴500ml,2.9,3.5,500ml
49,6921168504022,01041,尖叫运动饮料纤维型550ml,3.1,4,550ml
50,6921168504015,01042,尖叫运动饮料多肽型550ml,3.1,4,550ml
51,6921168500956,01043,农夫水溶C100柠檬味复合果汁饮料445ml,3.5,4.2,445ml
52,6920202888883,01044,红牛维生素功能饮料250ml,5.1,6,250ml
53,6920202866737,01045,红牛维他命饮料8倍强化型250ml,5.8,6.5,250ml
54,6925303721039,01059,统一鲜橙多橙汁450ml,2.3,2.8,450ml
55,6925303721367,01061,统一绿茶低糖500ml,2.2,3,500ml
56,6919892633200,01118,康师傅3+2夹心饼干香草巧克力味125g,4.4,5.2,125g
57,6911988011619,01221,达利园法式小面包香奶味400g,9.5,12.5,400g
58,6911988006479,01224,达利园可比克薯片原味60g,2.8,4,60g
59,6911988006448,01225,达利园可比克薯片烧烤味60g,2.8,4,60g
60,6901028075800,01280,红双喜(硬)20支,7.1,8,20支
61,6903148070925,01342,汰渍全效360度三重功效洗衣皂238g,4,4.5,238g
62,6903148030363,01346,飘柔家庭护理兰花长效清爽去屑洗发露400ml,15.5,21.5,400ml
63,6903148044964,01485,海飞丝洗发露(丝质柔滑去屑型)400ml,39.9,48.9,400ml
64,6901028118170,01541,利群(新版)20支,13,14,20支
65,6901028180573,01546,黄鹤楼软盒20支,17.3,19,20支
66,6920927181894,01702,美汁源果粒橙1.25L,5.9,7,1.25L
67,6920907803129,01817,好丽友Q蒂蛋糕榛子巧克力味168g,10.2,12.5,168g
68,6901028075770,01893,中华软盒20支,61.4,70,20支
69,6901028150255,01894,泰山(硬儒风)20支,48,55,20支
70,6901028075763,01896,中华(硬)20支,40.2,45,20支
71,6901028045902,01897,云烟软珍品20支,21.8,24,20支
72,6901028193498,01898,芙蓉王84硬盒20支,23,25,20支
73,6901028300094,01904,南京(精品)20支,19.2,22,20支
74,6901028300070,01908,南京(佳品)20支,13.7,16,20支
75,6901028000642,01911,双喜(硬经典醇香)20支,10.6,12,20支
76,6901028300056,01912,南京（红）20支,10.9,12,20支
77,6901028315425,01916,红塔山硬经典100香烟20支,9.3,10,20支
78,6901028046886,01919,云烟(紫)20支,9.3,10,20支
79,6901028100663,01921,长白山软红20支,9.5,11,20支
80,6901028024969,01922,娇子X20支,9,10,20支
81,6901028208802,01936,黄山(硬一品)20支,5.1,5.5,20支
82,6901028138352,01938,七匹狼84硬盒(豪情)20支,5.1,5.5,20支
83,6916168616554,02001,鲁花5S压榨一级花生油5000ml,137.9,139.9,5000ml
84,6916168616349,02003,鲁花5S压榨一级花生油2.5l,78.3,69.9,2.5l
85,6948195803997,02018,胡姬花古法花生油5L,124.1,139.9,5L
86,69019388,02031,绿箭口香糖15g,1.3,1.5,15g
87,6923450601549,02034,绿箭薄荷味口香糖64g,8,9.5,64g
88,6923450656181,02040,益达木糖醇无糖口香糖冰凉薄荷味56g,9.2,11,56g
89,6923450656150,02041,益达木糖醇无糖口香糖清爽草莓味56g,9.2,11,56g
90,69025143,02042,益达木糖醇无糖口香糖香浓蜜瓜味56g,9.2,11,56g
91,6923450656860,02043,益达无糖口香糖香橙味56g,9.2,11,56g
92,6907992100272,02083,伊利纯牛奶250ml,3,3,250ml
93,6907992507095,02088,伊利金典纯牛奶250ml,4.8,5.5,250ml
94,6928545880762,02090,益田老醋海蜇王礼盒1.6kg,45.8,59,1.6kg
95,6907992500010,02096,伊利优酸乳原味250ml,1.7,2.1,250ml
96,6928545880847,02101,曲记野蛰头2000g,45.8,59,2000g
97,6901028001465,02102,双喜(软国际)20支,6.1,6.5,20支
98,6923644266318,02118,蒙牛特仑苏纯牛奶250ml*12,57.3,65,250ml*12
99,6923644223458,02119,蒙牛纯牛奶250ml,2.7,3,250ml
100,6925303714086,02177,统一来一桶红烧牛肉面105g,3.1,4,105g
101,6924187828964,02195,洽洽奶香瓜子150g,4.2,6,150g
102,6901451010829,02281,青食精制钙奶饼干240g,4.2,4.5,240g
103,6911988009777,02286,达利园好吃点香脆腰果饼108g,2.8,4,108g
104,6911988009784,02287,达利园好吃点香脆核桃饼108g,2.8,4,108g
105,6919892656100,02294,康师傅甜酥夹心饼干榛子巧克力味80g,3.2,3.8,80g
106,6919892880208,02296,康师傅美味酥什锦烧烤味85g,2.9,4,85g
107,6919892880109,02297,康师傅美味酥点点葱香味85g,2.9,4,85g
108,6920616311113,02300,旺旺仙贝52g*12,4.2,5,52g*12
109,6920616312097,02301,旺旺雪饼84g*20,4.6,5.5,84g*20
110,6911988009760,02309,达利园好吃点香脆杏仁饼108g,2.8,4,108g
111,6919892633101,02323,康师傅3+2夹心苏打香浓奶油味125g,5.1,5.2,125g
112,6903473100229,02396,雀巢咖啡醇品速溶咖啡瓶装100g,2.9,46,100g
113,6917878027333,02401,雀巢香滑咖啡180ml,2.9,4,180ml
114,6920907800210,02403,好丽友蛋黄派138g,2.9,11.5,138g
115,6920907808032,02404,好多鱼马铃薯膨化食品鲜香海苔味33g,5.4,4.9,33g
116,6920907808117,02405,好多鱼马铃薯膨化食品浓香茄汁味33g,5.1,4.9,33g
117,6914782203624,02414,徐福记蛋酥沙琪玛全蛋味309g,5.4,11.9,309g
118,6914782082434,02418,徐福记沙琪玛鸡蛋香酥160g,9.3,11.9,160g
119,6914782203365,02421,徐福记芝麻煎卷80g,4.3,5.5,80g
120,6914782083189,02425,徐福记小丸煎饼黑芝麻100g,5.3,6.9,100g
121,6914782083226,02427,徐福记卷心酥奶油105g,4.9,6.5,105g
122,6914782202498,02428,徐福记米格玛夹心米果卷奶油玉米味90g,5.3,6.9,90g
123,6914782203075,02430,徐福记磨堡欧洲传统蛋糕芝麻味190g,8.7,11.9,190g
124,6901668062086,02551,趣多多巧克力饼95g,4.8,5.9,95g
125,6901028193504,02643,芙蓉王(硬)20支,23,25,20支
126,6914782203648,02664,徐福记沙琪玛蛋黄309g,8.8,11.9,309g
127,6934364800713,02694,米老头青稞麦棒芝麻味150g,4.8,7,150g
128,6934364800744,02695,米老头满嘴香青稞米棒花生味150g,4.8,7,150g
129,6925332600053,02697,米老头雪花煎卷花生味150g,4.3,6,150g
130,6925332600046,02698,米老头雪花煎卷椰奶味150g,4.4,6,150g
131,6934364801123,02749,米老头蛋黄煎饼饼干原味150g,6.7,8.9,150g
132,6934364801390,02752,米老头蛋黄煎饼牛奶味150g,6.7,8.9,150g
133,6914782203747,02869,徐福记法式薄饼花生味85g,5.3,6.9,85g
134,6914782083219,02872,徐福记卷心酥草莓味105g,4.9,6.5,105g
135,6914782083196,02876,徐福记小丸煎饼鸡蛋味100g,5.3,6.9,100g
136,6914782203358,02877,徐福记香脆鸡蛋煎卷80g,4.3,5.5,80g
137,6914782202511,02878,徐福记米果卷咸香芝士味90g,5.3,6.9,90g
138,6901028149235,02927,哈德门(软)20支,3.4,3.5,20支
139,6912003003008,03011,天堂隐格聚酯纺三折晴雨伞61cm*10k,26.9,45,61cm*10k
140,6920912348578,03208,盼盼法式小面包奶香味20g*10枚,5,6.9,20g*10枚
141,6901028025638,03244,娇子(绿时代阳光)20支,7.1,7.5,20支
142,6901028156714,03287,泰山蓝八喜香烟20支,19.9,22,20支
143,6901028156813,03289,泰山乐章软盒20支,22.9,26,20支
144,6901028137287,03709,七匹狼香烟白20支,7.1,7.5,20支
145,6910019001841,03812,雕牌全效洗洁精N2500g,4.1,6,500g
146,6910019006518,03814,雕牌超能皂226g,2.7,3.5,226g
147,6933966188359,03827,喜燕一级大豆油5L,37.8,45.9,5L
148,6919892656209,03856,康师傅甜酥夹心饼干草莓酸奶味80g,3.2,3.8,80g
149,6901028071468,03961,中南海硬盒5mg20支,9,10,20支
150,6901028156776,03962,泰山华贵硬盒20支,9.3,10,20支
151,6901028045575,03968,云烟红香烟20支,7,7.5,20支
152,6903148091470,03995,潘婷丝质顺滑洗发露400ml,30.9,39.5,400ml
153,6901894121021,04013,白猫经典配方洗洁精(新盖)500g,3.9,4.5,500g
154,6901028071765,04275,中南海金装8mg20支,6.5,7,20支
155,6901294177659,04457,六神香皂芦荟125g,4.2,5,125g
156,6903148091432,04509,潘婷乳液修复洗发露400ml,29.8,38,400ml
157,6901028156745,04574,泰山(东方)20支,10.9,12,20支
158,6911988013538,04609,达利园瑞士卷草莓味160g,5.3,7.5,160g
159,6920907802023,04660,好丽友鲜莓派138g,8.2,10.5,138g
160,6920907801729,04664,好丽友可可派180g,9.1,11,180g
161,6920907808537,04667,好丽友呀土豆薯片蕃茄酱味70g,4.9,6,70g
162,6920907808575,04668,好丽友呀土豆薯片里脊牛排味70g,4.9,6,70g
163,6920354802331,04681,高露洁草本水晶牙膏90g,3.2,4,90g
164,6922255451427,04690,百岁山矿泉水570ml,1.7,2.5,570ml
165,6901028310611,04711,云烟软如意20支,9.9,11,20支
166,6901028149891,04714,哈德门(醇香)20支,5.1,5.5,20支
167,6939729900060,05159,今麦郎冰红茶柠檬味500ml,2,2.5,500ml
168,6903148045954,05161,海飞丝去屑护发素丝滑柔顺型200ml,22,27.9,200ml
169,6939729900077,05165,今麦郎绿茶500ml,2,2.5,500ml
170,6903148054215,05191,佳洁士3D炫白双效牙膏120g,8.7,11.5,120g
171,6922554705016,05192,康师傅冰红茶500ml,2.2,3,500ml
172,6921317998436,05194,康师傅茉莉清茶500ml,2.2,3,500ml
173,6911988014276,05222,达利园和其正凉茶550ml,3.7,4,550ml
174,6903148044971,05248,海飞丝丝质柔滑200ml,22,27.9,200ml
175,6903148045060,05250,海飞丝新生去屑洗发露深层洁净400ml,40.6,45.9,400ml
176,6903568101698,05354,琅琊台中华贡38°500ml,130.6,155,500ml
177,6902265360018,05418,海天上等蚝油700ml,5.9,8.2,700ml
178,69028571,05439,绿箭无糖薄荷糖原味薄荷味23.8g,7.7,9.3,23.8g
179,69028595,05440,绿箭铁盒无糖薄菏糖留兰香薄荷味24g,7.9,9.3,24g
180,6920907808834,05457,好友趣薯片韩国泡菜味45g,3.2,3.9,45g
181,6920907808759,05459,好友趣茶色添香薯片多汁牛排味45g,3.2,3.9,45g
182,6920907808773,05462,好友趣薯片多汁牛排味75g,5.1,6,75g
183,6903148091463,05648,潘婷丝质顺滑洗发露200ml,17.1,21,200ml
184,6919892553201,05653,康师傅味夹心卷香草牛奶55g,3.1,3.8,55g
185,6919892553300,05655,康师傅3+2夹心卷浓情巧克力味55g,3.1,3.8,55g
186,6902083883874,05665,娃哈哈水蜜桃汁500ml,2.3,3,500ml
187,6911988013569,05669,达利园瑞士卷香蕉味160g,5.1,7.2,160g
188,69021343,05734,益达无糖口香糖蓝莓味13.5g,2.2,2.5,13.5g
189,6901798122919,05809,泸州老窖头曲38°500ml,49.5,98,500ml
190,6901028071529,05821,中南海(5mg细支)20支,10.9,12,20支
191,6927462205337,05869,金锣加钙王340g,8.5,10,340g
192,6927462206983,05871,金锣加钙特香王32g*10,7.1,9,32g*10
193,6933266600117,05882,七喜瓶装汽水600ml,2.3,3,600ml
194,6933266600360,05885,美年达汽水苹果味600ml,2.3,3,600ml
195,6923644242923,05969,蒙牛酸酸乳原味250ml,1.6,1.8,250ml
196,6923644242930,05970,蒙牛酸酸乳草莓味250ml,1.6,1.8,250ml
197,6923644268510,05972,蒙牛真果粒饮品桃果粒250ml,3.1,3.5,250ml
198,6923644268503,05974,蒙牛真果粒饮品草莓果粒250ml,3.1,3.5,250ml
199,6901028207072,06045,利群(蓝天)20支,15.1,16,20支
200,6909995103670,06063,旺旺小小酥原味60g,3.1,3.6,60g
201,6911988000323,06190,达利园好吃点杏仁酥108g,2.9,4,108g
202,6920907808018,06199,好丽友蘑古力装饰饼干巧克力味48g,3.9,5,48g
203,6920907808070,06200,好丽友蘑古力装饰饼干红豆巧克力味48g,3.9,5,48g
204,6911348432436,06225,全无敌无烟配方蚊香10盘,2.9,3.98,10盘
205,6903148019429,06339,佳洁士防蛀修护牙膏（晶莹薄荷香型）100g,6.9,7.9,100g
206,6903148045053,06364,海飞丝去屑洗发露清爽去油型200ml,22.4,29.5,200ml
207,6901294171756,06381,六神清凉香皂（冰片）125g,2.8,4.5,125g
208,6903148075371,06388,佳洁士珍珠盐白牙膏柠檬清新90g,4.7,5.5,90g
209,6939743666126,06610,龙大压榨一级花生油5000ml,114.2,136.8,5000ml
210,6901028000659,06696,双喜硬经典20支,10.6,12,20支
211,6901028193856,06814,芙蓉王(蓝)20支,32.4,35,20支
212,6947079060112,06874,草原汇香蒙酷公牛酱香辣180g,7.1,10,180g
213,6901294177024,06878,六神花露水95ml,7.1,8.8,95ml
214,6903148078990,06899,碧浪洁净无磷洗衣粉（自然清新）1.7kg,18.8,21,1.7kg
215,6903148030356,06968,飘柔家庭护理兰花长效清爽去屑洗发露200ml,9.8,13.5,200ml
216,6902265210504,06997,海天草菇老抽500ml,6.3,9.5,500ml
217,6902265114437,07002,海天老陈醋800ml,8,9.5,800ml
218,6902265170198,07005,海天鲜味生抽1900ml,13.5,19,1900ml
219,6902265150022,07011,海天味极鲜1.9L,24.1,28.8,1.9L
220,6902265470267,07015,海天黄豆酱340ml,5.9,7.9,340ml
221,6902265908012,07017,海天黄豆酱800ml,10.9,14.5,800ml
222,6902265851943,07019,海天辣黄豆酱340ml,5.7,7.9,340ml
223,6902265711209,07020,海天辣黄豆酱800ml,14,16.5,800ml
224,6903148093610,07040,潘婷洗发水(丝质顺滑)400ml,30.9,36.9,400ml
225,6901754040936,07224,乌江脆口榨菜175g,2.9,4,175g
226,6903244370950,07262,七度空间纯棉表层卫生巾(日用)10片,7.6,8.8,10片
227,6903244370974,07269,七度空间纯棉表层卫生巾(夜用)10片,8.5,9.7,10片
228,6920242102116,07324,怡达山楂饼138g,5.3,6.9,138g
229,6912003043394,07379,天堂素色聚酯纺三折晴雨伞1*1,16.4,18,1*1
230,6911988000309,07431,达利园好吃点榛仁酥108g,2.9,4,108g
231,6911988000316,07435,达利园好吃点核桃酥108g,2.9,4,108g
232,6911988006455,07473,达利园可比克薯片番茄味60g,2.8,4,60g
233,6911988014832,07547,达利园法式软面包香奶味200g,5.4,7.8,200g
234,6920912342002,07610,盼盼烧烤牛排烧烤牛排味105g,3.5,4.8,105g
235,6920912342019,07611,盼盼墨西哥鸡味卷105g,3.5,4.8,105g
236,6943544370236,07617,可拉奥五谷原气原味95g,2.6,3.2,95g
237,6943544370243,07618,可拉奥五谷原气牛乳味95g,2.6,3.2,95g
238,6903148092408,07656,舒肤佳3块特惠装115g,12.7,14.5,115g
239,6903148045114,07661,海飞丝海洋活力洗发露400ml,40.6,49.9,400ml
240,6922868284283,07857,心相印消毒柔湿巾独立装(SA001)10片,3.3,3.9,10片
241,6927462209397,08217,金锣Q香香肠香辣味85g,1.8,2,85g
242,6927462209380,08218,金锣Q香香肠蘑菇味85g,1.8,2,85g
243,6921204802099,08565,欣和豆瓣酱800g,11.3,13.8,800g
244,6921204802204,08566,欣和豆瓣酱300g,6.1,7.5,300g
245,6902265240501,08572,海天老抽王500ml,5.3,6.9,500ml
246,6920731704302,08671,康师傅妙芙欧式蛋糕香芋牛奶味96g,5.1,6.2,96g
247,6914644828019,08791,金鸡黑色膏体鞋油30g,2.2,2.9,30g
248,6903148093702,08797,潘婷乳液修复洗发露400ml,32.8,35.9,400ml
249,6925303721398,08855,统一冰红茶500ml,2.2,3,500ml
250,6939743666171,08951,龙大压榨一级花生油1800ml,43.5,49.9,1800ml
251,6901798810137,09036,泸州老窖特曲52°500ml,179,288,500ml
252,6911988000286,09118,达利园好吃点核桃酥146g,4,5.2,146g
253,6911988000293,09119,达利园好吃点杏仁酥146g,4,5.2,146g
254,6911988000279,09120,达利园好吃点榛仁酥146g,4,5.2,146g
255,6911988006592,09148,达利园可比克薯片原味105g,5.9,8.2,105g
256,6911988006561,09154,达利园可比克薯片番茄味105g,5.8,8.2,105g
257,6911988006585,09158,达利园可比克薯片烧烤味105g,6.1,8.2,105g
258,6911988014849,09160,达利园法式软面包香奶味160g,5,6.8,160g
259,6911988014900,09163,达利园法式软面包香橙味160g,5,6.8,160g
260,6911988000170,09186,达利园好吃点谷野高纤蔬菜168g,4.5,6,168g
261,6911988005854,09190,达利园好吃点低糖海苔饼130g,3,3.8,130g
262,6911988013545,09216,达利园瑞士卷橙汁味160g,5.1,7.2,160g
263,6903148049105,09232,飘柔人参滋养修护润发乳200ml,11.8,15.5,200ml
264,6902265170501,09325,海天鲜味生抽500ml,4.7,6.8,500ml
265,6938309700526,09356,名仁苏打水360ml,2.1,3,360ml
266,6922307206005,09554,崂山饮用天然矿泉水600ml,1.7,2,600ml
267,6922307203301,09555,崂山饮用天然矿泉水330ml,1.8,2,330ml
268,6922307203332,09556,崂山白花蛇草水330ml,3.8,4.8,330ml
269,6922307206012,09559,崂山矿泉水600ml,1.3,1.8,600ml
270,6920912353657,09628,盼盼法式软面包奶香味20g*10枚,5.9,8.2,20g*10枚
271,6903148091425,09708,潘婷乳液修复洗发露200ml,16.9,21,200ml
272,6901028120692,09773,利群(软长嘴)20支,33.5,36,20支
273,6902083886455,09879,娃哈哈营养快线原味500g,3.8,4.5,500g
274,6902083886417,09880,娃哈哈营养快线菠萝味500g,3.5,4.2,500g
275,6902083891329,09881,娃哈哈营养快线香草味500ml,3.5,4.2,500ml
276,6902083880781,09883,娃哈哈营养八宝粥桂圆莲子360g,3.4,4.5,360g
277,6902083881559,09884,娃哈哈木糖醇营养八宝粥360g,3.4,4,360g
278,6902083883089,09885,娃哈哈冰红茶500ml,2.1,2.5,500ml
279,6902083882983,09886,娃哈哈龙井绿茶500ml,2.1,2.5,500ml
280,6901845010176,09933,格力高百奇装饰饼干涂层型牛奶味60g,4.7,5.6,60g
281,6901845041606,09989,格力高百奇装饰饼干涂层型草莓味55g,4.7,5.6,55g
282,6901845010169,09991,格力高百奇装饰饼干巧克力味60g,4.7,5.6,60g
283,6917878028606,10129,雀巢咖啡特浓180ml,3.1,4,180ml
284,6903148045046,10166,海飞丝去屑洗发露清爽去油型400ml,36.4,49,400ml
285,6917878009254,10190,雀巢花生夹心威化20g,0.9,1.5,20g
286,6903148045190,10194,海飞丝去屑洗发露柔润滋养型400ml,42,49,400ml
287,6903148091531,10296,潘婷丝质顺滑精华素400ml,29,35.9,400ml
288,6903148047859,10365,舒肤佳薄荷冰怡舒爽沐浴露400ml,18.9,21.9,400ml
289,6927462204514,10564,金锣黑猪王350g,8.2,10,350g
290,6927462209601,10572,金锣脆脆肠香辣味140g,3.7,4.5,140g
291,6901798120854,10647,泸州老窖老窖头曲52°500ml,49.5,98,500ml
292,8888075005487,10792,555金20支,14.6,16,20支
293,6911988014894,10824,达利园法式软面包香橙味200g,5.4,7.8,200g
294,6933266600292,10997,美年达汽水葡萄味600ml,2.3,3,600ml
295,8888075005517,11000,555金锐香烟20支,14.6,16,20支
296,6922307203073,11121,崂山苏打水罐装330ml,4,4.8,330ml
297,6926892521086,11461,银鹭桂圆莲子八宝粥360g,3.1,4,360g
