订单序号,订单编号,订单来源,饿了么订单编号,城市,商户名称,商户ID,配送方式,订单状态,退款状态,订单无效理由,下单时间,预计送达时间,商户接单时间,订单完成时间,订单总金额,用户实付金额,商户应收金额,平台佣金,索赔状态,商品费用,商品名称,SKU编码,商品自定义ID,优惠前单价,优惠后单价,购买数量,备注,配送费,免配送费,包装费,商家活动补贴,是否参加满赠活动,商家券补贴,商家红包补贴,商家配送费补贴,商家礼金补贴,平台活动补贴,平台商家券补贴,平台红包补贴,平台配送费补贴,平台礼金补贴,顾客买券补贴,快递公司,快递单号
1,"	1575545106078556155",饿了么,"	3055964077824333910",青岛市,易捷便利店（9站店）,"	32267307402",蜂鸟配送,已取消,,--,2019年12月05日 19:25,立即送餐,19:25,--,21.1,19.1,11.1,4,--,16.8,康师傅桶装方便面红烧牛肉106g,"	157528136507114922","	--",4.2,4.2,4,,4,否,0.3,0,不参加满赠,0,0,2,0,0,0,0,0,0,0,--,--
2,"	1575461883075619872",饿了么,"	2119740007724052709",青岛市,易捷便利店（3站店）,"	32267307380",蜂鸟配送,已完成,,--,2019年12月04日 20:18,立即送餐,20:18,20:52,33.7,33.7,25.7,4,--,29.4,龙大肉食梨木烤火腿肠250g,"	15752659890799405","	--",10.8,10.8,1,,4,否,0.3,0,不参加满赠,0,0,0,0,0,0,0,0,0,0,--,--
,,,,,,,,,,,,,,,,,,,,,金锣王中王优级火腿肠50g*10,"	15752665240748734","	--",18.6,18.6,1,,,,,,,,,,,,,,,,,,
3,"	1575440805075356697",饿了么,"	2119716781916503126",青岛市,易捷便利店（9站店）,"	32267307402",蜂鸟配送,已取消,,其他,2019年12月04日 14:26,立即送餐,14:26,--,21.8,21.8,13.8,4,--,17.8,雕牌超能皂226g,"	157528137807122277","	--",4.8,4.8,1,,4,否,0,0,不参加满赠,0,0,0,0,0,0,0,0,0,0,--,--
,,,,,,,,,,,,,,,,,,,,,旺旺雪饼84g,"	15752824240746439","	--",6.5,6.5,2,,,,,,,,,,,,,,,,,,
4,"	1575431324075254117",饿了么,"	2119704801147119839",青岛市,易捷便利店（78站店）,"	32267307382",蜂鸟配送,已完成,,--,2019年12月04日 11:48,立即送餐,11:48,12:12,22.6,19.26,11.26,4,--,18.6,鸥露本色柔润面巾纸270张 3层,"	15753560460796799","	--",7.2,6.12,1,,4,否,0,3.34,不参加满赠,0,0,0,0,0,0,0,0,0,0,--,--
,,,,,,,,,,,,,,,,,,,,,卓玛泉天然冰川水300ml,"	15753560440795880","	--",3,2,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,鸥露本色竹柔巾软抽45抽,"	15753560460796792","	--",8.4,7.14,1,,,,,,,,,,,,,,,,,,
5,"	1575430343075207809",饿了么,"	2119701577690315999",青岛市,易捷便利店（78站店）,"	32267307382",蜂鸟配送,已取消,,其他,2019年12月04日 11:32,立即送餐,11:32,--,19.6,19.6,11.6,4,--,15.6,好丽友巧克力派204g,"	15744165220712461","	--",12.6,12.6,1,,4,否,0,0,不参加满赠,0,0,0,0,0,0,0,0,0,0,--,--
,,,,,,,,,,,,,,,,,,,,,可口可乐汽水(听装)330ml,"	15744165350721499","	--",3,3,1,,,,,,,,,,,,,,,,,,
